Beds,Baths,Price,StreetAddress,Area
3,3,1390000,4737 GLENWOOD AVENUE,North Vancouver
3,3,2488000,8225 TIDEWATER PLACE,Vancouver
2,2,1115000,3-503 E PENDER STREET,Vancouver
1,1,599000,315-5665 BOUNDARY ROAD,Vancouver
1,1,699900,614-610 GRANVILLE STREET,Vancouver
3,3,949000,8418 CORNERSTONE STREET,Vancouver
2,2,1449000,1803-1020 HARWOOD STREET,Vancouver
7,5,2898000,1888 W 60TH AVENUE,Vancouver
2,2,975000,1202-1255 SEYMOUR STREET,Vancouver
1,1,659900,209-1080 MARINE DRIVE,North Vancouver
2,2,1410000,1303-7433 CAMBIE STREET,Vancouver
5,4,2149900,3326 E 2ND AVENUE,Vancouver
7,3,3250000,2024 W 13TH AVENUE,Vancouver
1,1,565000,201-2244 MCGILL STREET,Vancouver
4,3,2549000,3451 W 6TH AVENUE,Vancouver
2,2,1189000,304-5775 HAMPTON PLACE,Vancouver
6,2,2199000,6155 ARLINGTON STREET,Vancouver
2,2,799000,1402-114 W KEITH ROAD,North Vancouver
3,4,1849900,2946 E 3RD AVENUE,Vancouver
4,4,1874000,TH4-610 E 3RD STREET,North Vancouver
3,3,1425000,TH9-610 E 3RD STREET,North Vancouver
3,3,2849000,5-2366 BIRCH,Vancouver
2,1,1088000,310-77 WALTER HARDWICK AVENUE,Vancouver
3,2,1189900,PH1-1345 W 15TH AVENUE,Vancouver
1,1,915900,1001-7433 CAMBIE STREET,Vancouver
2,2,939000,19-433 SEYMOUR RIVER PLACE,North Vancouver
1,1,575000,204-1055 E BROADWAY,Vancouver
2,2,1049000,201-212 DAVIE STREET,Vancouver
4,4,2599000,2773 W 33RD AVENUE,Vancouver
1,1,699888,407-379 E BROADWAY,Vancouver
5,4,2899000,2037 E 3RD AVENUE,Vancouver
4,4,1298000,1253 E 41 AVENUE,Vancouver
3,4,1598000,1574 E 11TH AVENUE,Vancouver
2,2,1298000,1306-160 E 13TH STREET,North Vancouver
3,3,1438000,56-5298 OAKMOUNT CRESCENT,Burnaby
1,1,530000,907-2378 ALPHA AVENUE,Burnaby
3,3,639900,3356 MARQUETTE CRESCENT,Vancouver
5,3,2690000,3750 W 26TH AVENUE,Vancouver
3,3,2989000,2050 WESTDEAN CRESCENT,West Vancouver
4,4,1198000,5085 DOMINION STREET,Burnaby
4,4,1500000,277 SKEENA STREET,Vancouver
2,2,1329900,405-2271 BELLEVUE AVENUE,West Vancouver
1,1,649800,204-2435 KINGSWAY,Vancouver
2,2,725000,515-2689 KINGSWAY,Vancouver
5,4,2149900,3324 E 2ND AVENUE,Vancouver
1,1,459900,108-1615 FRANCES STREET,Vancouver
3,3,1999000,4075 SHONE ROAD,North Vancouver
2,2,1050000,1602-1632 LIONS GATE LANE,North Vancouver
2,1,979000,1901-1323 HOMER STREET,Vancouver
1,1,775000,105-3083 W 4TH AVENUE,Vancouver
4,2,2499900,2908 W 8TH AVENUE,Vancouver
3,2,799000,3466 DARTMOOR PLACE,Vancouver
3,2,3100000,PH504-3596 W 28TH AVENUE,Vancouver
1,1,1408800,2104-1515 ALBERNI STREET,Vancouver
3,2,1390000,2804-6463 SILVER AVENUE,Burnaby
2,2,2178000,313-3596 W 28TH AVENUE,Vancouver
2,2,599000,415-7038 21ST AVENUE,Burnaby
2,2,889900,2005-4388 BUCHANAN STREET,Burnaby
2,2,1850000,1305-7433 CAMBIE STREET,Vancouver
1,1,629900,249-2565 W BROADWAY,Vancouver
1,1,579000,2403-1189 HOWE STREET,Vancouver
N/A ,0,4388000,1987 CORNWALL AVENUE,Vancouver
1,1,1058000,1507-838 W HASTINGS STREET,Vancouver
7,5,3198000,7169 SOUTHVIEW PLACE,Burnaby
4,4,1278000,1255 E 41ST AVENUE,Vancouver
4,4,1278000,1255 E 41ST AVENUE,Vancouver
3,3,2898000,3703-689 ABBOTT STREET,Vancouver
1,1,998000,2207-7433 CAMBIE STREET,Vancouver
3,4,1599000,1-1960 GLENAIRE DRIVE,North Vancouver
2,2,1490000,1703-7433 CAMBIE STREET,Vancouver
1,1,659000,1802-4465 JUNEAU STREET,Burnaby
4,3,1798800,3895 BROCKTON PLACE,North Vancouver
0,1,548800,2801-928 BEATTY STREET,Vancouver
2,2,810000,301-1010 BURNABY STREET,Vancouver
1,1,1528000,4780 MAITLAND STREET,Burnaby
2,2,948000,246-2565 W BROADWAY,Vancouver
2,2,578000,207-4113 FRASER STREET,Vancouver
2,2,869000,421-7488 BYRNEPARK WALK,Burnaby
0,1,599900,904-1221 BIDWELL STREET,Vancouver
2,1,789000,1287 PLATEAU DRIVE,North Vancouver
2,2,914900,902-128 W CORDOVA STREET,Vancouver
1,1,708000,1202-6288 CASSIE AVENUE,Burnaby
2,3,1048000,1505 BOWSER AVENUE,North Vancouver
2,3,2749900,778 ARTHUR ERICKSON PLACE,West Vancouver
3,3,1699000,4151 LYNN VALLEY ROAD,North Vancouver
3,2,1998000,3304-1111 RICHARDS STREET,Vancouver
2,2,1325000,1204-1055 HOMER STREET,Vancouver
6,5,1799000,3869 VICTORIA DRIVE,Vancouver
2,2,999000,2263 ASH STREET,Vancouver
3,3,999000,35-6512 CHAMBORD PLACE,Vancouver
4,5,6990000,4497 PUGET DRIVE,Vancouver
N/A ,0,3200000,5562 JOYCE STREET,Vancouver
1,1,589000,2003-2311 BETA AVENUE,Burnaby
3,3,1298000,929 HOMER STREET,Vancouver
2,2,1568000,2004-1633 CAPILANO ROAD,North Vancouver
1,1,430000,205-120 W 17TH STREET,North Vancouver
3,3,3550000,3005 W 15TH AVENUE,Vancouver
1,1,675000,2102-33 CHESTERFIELD PLACE,North Vancouver
2,2,999000,5601-4510 HALIFAX WAY,Burnaby
4,5,3888000,2001-1239 W GEORGIA STREET,Vancouver
2,1,825000,308-1330 GRAVELEY STREET,Vancouver
5,7,4680000,2236 W 20TH AVENUE,Vancouver
3,2,1568800,1602-8588 CORNISH STREET,Vancouver
5,8,5980000,531 NEWCROFT PLACE,West Vancouver
1,1,728000,2306-7358 EDMONDS STREET,Burnaby
2,2,998000,1111-4655 VALLEY DRIVE,Vancouver
2,2,1300000,411-2288 MARSTRAND AVENUE,Vancouver
1,1,799900,505-2228 MARSTRAND AVENUE,Vancouver
2,2,1129800,1108-2085 SKYLINE COURT,Burnaby
2,1,998000,202-1406 HARWOOD STREET,Vancouver
1,1,598000,3007-4808 HAZEL STREET,Burnaby
2,3,899000,36-2723 E KENT AVENUE NORTH,Vancouver
1,1,625000,201-1066 W 13TH AVENUE,Vancouver
1,1,820000,303-1238 HOMER STREET,Vancouver
3,3,2899000,9-2366 BIRCH STREET,Vancouver
2,3,1680000,2-2128 W 43RD AVENUE,Vancouver
5,4,4998000,1408 W 33RD AVENUE,Vancouver
3,2,1288000,1301-5058 JOYCE STREET,Vancouver
3,3,2199999,6432 ASH STREET,Vancouver
3,3,2598000,5B-1403 BEACH AVENUE,Vancouver
3,3,2798000,2685 SKILIFT PLACE,West Vancouver
5,5,2249900,786 E 45TH AVENUE,Vancouver
6,7,2450000,4895 MOSS STREET,Vancouver
6,5,3980000,1529 W 61ST AVENUE,Vancouver
4,3,1699000,1089 CALVERHALL STREET,North Vancouver
5,3,1490000,5608 LANARK STREET,Vancouver
2,2,798000,302-1621 HAMILTON AVENUE,North Vancouver
2,2,799000,1602-5967 WILSON AVENUE,Burnaby
5,7,9889000,545 ROBIN HOOD ROAD,West Vancouver
2,2,899999,316-221 E 3RD STREET,North Vancouver
3,2,1699000,892 E 13TH AVENUE,Vancouver
2,2,715000,1302-6659 SOUTHOAKS CRESCENT,Burnaby
2,2,2088000,2605-1289 HORNBY STREET,Vancouver
2,2,1088000,1107-2435 KINGSWAY,Vancouver
2,2,768000,306-1111 LYNN VALLEY ROAD,North Vancouver
6,6,2988000,530 E 18TH AVENUE,Vancouver
2,2,1495000,207-1859 SPYGLASS PLACE,Vancouver
3,3,1497500,3846 MOUNTAIN HIGHWAY,North Vancouver
2,2,1988000,2808-1289 HORNBY STREET,Vancouver
2,2,938000,PH-I-630 ROCHE POINT DRIVE,North Vancouver
1,1,619900,2703-6658 DOW AVENUE,Burnaby
3,3,2398000,1965 FULTON AVENUE,West Vancouver
2,2,1598000,406-4759 VALLEY DRIVE,Vancouver
1,1,599000,2502-5058 JOYCE STREET,Vancouver
3,2,1279900,201-2651 LIBRARY LANE,North Vancouver
1,1,625000,101-1260 W 10TH AVENUE,Vancouver
2,2,1879900,4105-777 RICHARDS STREET,Vancouver
1,1,799000,106-2020 W 12TH AVENUE,Vancouver
6,4,2180000,5769 JOYCE STREET,Vancouver
0,1,799000,301-1819 W 5TH AVENUE,Vancouver
3,3,1188888,1-5218 SAVILE ROW,Burnaby
4,5,4299000,4108 W 12TH AVENUE,Vancouver
2,2,735000,504-6240 MCKAY AVENUE,Burnaby
6,7,3199900,748 E 30TH AVENUE,Vancouver
2,2,1120000,1208-5628 BIRNEY AVENUE,Vancouver
2,2,918000,3305-6658 DOW AVENUE,Burnaby
1,1,888000,1738 ONTARIO STREET,Vancouver
4,5,4500000,4488 ROSS CRESCENT,West Vancouver
3,2,1160000,1201-1255 MAIN STREET,Vancouver
0,1,438000,804-1330 BURRARD STREET,Vancouver
6,7,4798000,4062 VIRGINIA CRESCENT,North Vancouver
2,2,1015000,1604-1239 GEORGIA STREET,Vancouver
2,2,1149000,305-1005 BEACH AVENUE,Vancouver
1,1,599000,802-955 E HASTINGS STREET,Vancouver
1,1,660000,1902-1401 HUNTER STREET,North Vancouver
2,2,928000,706-1955 ALPHA WAY,Burnaby
10,7,2998000,2573 E 11TH AVENUE,Vancouver
2,2,899900,3306-4485 SKYLINE DRIVE,Burnaby
3,3,4179900,PH 801-788 ARTHUR ERICKSON PLACE,West Vancouver
2,2,820000,4012-4510 HALIFAX WAY,Burnaby
2,2,1188000,102-4932 CAMBIE STREET,Vancouver
3,4,1699900,4703 COMMERCIAL STREET,Vancouver
5,6,7988000,6738 BEECHWOOD STREET,Vancouver
5,4,3488000,1922 W 33RD AVENUE,Vancouver
2,2,1499000,604-488 W 58TH AVENUE,Vancouver
4,4,2380000,3456 W 29TH AVENUE,Vancouver
2,2,879000,2442 W 4TH AVENUE,Vancouver
3,3,3868000,3615 SUNSET LANE,West Vancouver
1,1,709000,1207-1133 HOMER STREET,Vancouver
4,4,2580000,3458 W 29TH AVENUE,Vancouver
7,8,4990000,3809 W KING EDWARD AVENUE,Vancouver
1,1,799000,902-480 ROBSON STREET,Vancouver
5,3,1788888,4591 HOY STREET,Vancouver
1,1,775000,1708-110 SWITCHMEN STREET,Vancouver
1,1,699000,303-477 W 59TH AVENUE,Vancouver
2,2,1218000,2501-888 HAMILTON STREET,Vancouver
2,1,599000,313-1061 MARINE DRIVE,North Vancouver
2,2,899000,521-2665 MOUNTAIN HIGHWAY,North Vancouver
1,1,599000,904-8533 RIVER DISTRICT CROSSING,Vancouver
3,2,919000,104-108 W ESPLANADE,North Vancouver
3,3,3399900,2806-1111 RICHARDS STREET,Vancouver
6,5,1999000,741 E 60TH AVENUE,Vancouver
2,3,2600000,1201-1311 BEACH AVENUE,Vancouver
1,1,870000,2412-89 NELSON STREET,Vancouver
5,5,5490000,1833 W 35TH AVENUE,Vancouver
3,2,1349000,5408 KNIGHT STREET,Vancouver
4,3,2798000,219 SANDRINGHAM CRESCENT,North Vancouver
4,4,1998000,196 N ELLESMERE AVENUE,Burnaby
1,1,849000,312-2128 W 40TH AVENUE,Vancouver
4,2,2200000,2812 GLEN DRIVE,Vancouver
5,8,7800000,1195 RENTON PLACE,West Vancouver
5,3,4688000,657 W 54TH AVENUE,Vancouver
4,3,1399800,7121 MONT ROYAL SQUARE,Vancouver
1,1,749000,206-1100 W 7TH AVENUE,Vancouver
1,1,555000,1003-6461 TELFORD AVENUE,Burnaby
3,4,4970000,4940 MEADFEILD ROAD,West Vancouver
3,4,1898000,321 W 24TH STREET,North Vancouver
2,2,698000,818-188 KEEFER STREET,Vancouver
2,2,1039000,107-139 W 22ND STREET,North Vancouver
2,2,1490000,1704-7433 CAMBIE STREET,Vancouver
2,2,679000,901-7088 SALISBURY AVENUE,Burnaby
2,2,1458800,4101-1289 HORNBY STREET,Vancouver
2,2,768000,312-7000 21ST AVENUE,Burnaby
3,4,5498800,3735 PUGET DRIVE,Vancouver
4,3,1388000,4612 CARLETON AVENUE,Burnaby
2,3,2988000,4906-1480 HOWE STREET,Vancouver
1,1,879900,307-1538 W 6TH AVENUE,Vancouver
3,3,999900,6-5122 CANADA WAY,Burnaby
3,2,1949900,103-157 KING EDWARD AVENUE,Vancouver
4,3,1729800,3871 HOSKINS ROAD,North Vancouver
3,2,1199000,2623 FROMME ROAD,North Vancouver
1,1,699000,302-1003 PACIFIC STREET,Vancouver
2,2,1099000,1005-909 BURRARD STREET,Vancouver
4,4,4980000,4336 LOCARNO CRESCENT,Vancouver
2,2,1349000,709-522 MOBERLY ROAD,Vancouver
2,2,908000,1405-6638 DUNBLANE AVENUE,Burnaby
2,2,748000,503-6611 SOUTHOAKS CRESCENT,Burnaby
2,2,929000,407-4477 HASTINGS STREET,Burnaby
0,1,433000,209-1189 HOWE STREET,Vancouver
1,1,667000,2203-977 MAINLAND STREET,Vancouver
2,2,599000,311-2620 FROMME ROAD,North Vancouver
1,1,689000,1408-5311 GORING STREET,Burnaby
1,1,468800,4-7077 EDMONDS STREET,Burnaby
4,3,1518000,7131 MONT ROYAL SQUARE,Vancouver
1,1,499800,302-6611 SOUTHOAKS CRESCENT,Burnaby
1,1,740000,1604-501 PACIFIC STREET,Vancouver
3,2,939000,306-1950 E 11TH AVENUE,Vancouver
6,2,2998000,3086 W 2ND AVENUE,Vancouver
5,5,4698000,875 AUBENEAU CRESCENT,West Vancouver
2,1,618000,103-4363 HALIFAX STREET,Burnaby
2,2,1098000,2102-183 KEEFER PLACE,Vancouver
2,2,975000,1030-68 SMITHE STREET,Vancouver
1,1,568000,1103-2220 KINGSWAY,Vancouver
3,3,1378000,1037 VICTORIA DRIVE,Vancouver
N/A ,0,1848000,1528 BOND STREET,North Vancouver
3,2,2635000,201-1972 BELLEVUE AVENUE,West Vancouver
5,3,1999000,4241 GILPIN CRESCENT,Burnaby
2,2,828000,4-3621 RAE AVENUE,Vancouver
2,2,1099999,701-1308 HORNBY STREET,Vancouver
6,6,5500000,6269 ANGUS DRIVE,Vancouver
5,2,1999000,4520 JAMES STREET,Vancouver
1,1,614900,506-231 E PENDER STREET,Vancouver
2,2,899000,918-180 E 2ND AVENUE,Vancouver
4,2,1899000,2996 E 8TH AVENUE,Vancouver
2,2,815000,328-723 W 3RD STREET,North Vancouver
4,4,1898000,230 W 5TH STREET,North Vancouver
3,3,1498000,2209-1239 W GEORGIA STREET,Vancouver
6,4,1599000,2849 QUEBEC STREET,Vancouver
3,2,1490000,1524 KILMER ROAD,North Vancouver
5,3,1438000,1-2025 E 44TH AVENUE,Vancouver
2,2,694888,305-1510 W 1ST AVENUE,Vancouver
4,3,1799900,3830 CARDIFF PLACE,Burnaby
1,1,599000,307-1775 W 11TH AVENUE,Vancouver
2,2,1260000,4101-128 W CORDOVA STREET,Vancouver
2,2,1880000,2204-1233 W CORDOVA STREET,Vancouver
4,4,1885000,2646 VENABLES STREET,Vancouver
1,1,729000,708-1471 HUNTER STREET,North Vancouver
2,2,999000,1709-688 ABBOTT STREET,Vancouver
5,2,4500000,2693 W 49TH AVENUE,Vancouver
3,3,1428000,2-3523 E GEORGIA STREET,Vancouver
3,3,1398000,3523 E GEORGIA STREET,Vancouver
2,3,1154900,490 W 35TH AVENUE,Vancouver
5,8,5698000,2586 MARINE DRIVE,West Vancouver
1,1,598000,102-341 MAHON AVENUE,North Vancouver
2,2,1198000,254 E 10TH STREET,North Vancouver
2,2,649000,201-120 E 4TH STREET,North Vancouver
2,2,1299900,2002-1028 BARCLAY STREET,Vancouver
3,4,3399000,6168 LARCH STREET,Vancouver
7,8,8998000,2793 WILLOUGHBY ROAD,West Vancouver
2,2,699800,7317 MAGNOLIA TERRACE,Burnaby
1,1,999800,2503-198 AQUARIUS MEWS,Vancouver
7,5,1899000,5920 COMMERCIAL STREET,Vancouver
2,2,1189000,401-1020 HARWOOD STREET,Vancouver
6,7,5198000,5869 MONTGOMERY STREET,Vancouver
2,1,1298000,5-1040 W 7TH AVENUE,Vancouver
1,1,749000,810-1788 COLUMBIA STREET,Vancouver
3,2,1528000,128 WARWICK AVENUE,Burnaby
4,4,1699000,7406 IMPERIAL STREET,Burnaby
6,7,5420000,6968 WILTSHIRE STREET,Vancouver
4,4,3788000,4443 W 15TH AVENUE,Vancouver
2,2,599000,507-7368 SANDBORNE AVENUE,Burnaby
1,1,599000,306-1396 BURNABY STREET,Vancouver
3,4,2675000,4470 W 8TH AVENUE,Vancouver
6,4,1599000,2845 QUEBEC STREET,Vancouver
1,1,630000,611-550 TAYLOR STREET,Vancouver
3,2,1699000,1506-1088 QUEBEC STREET,Vancouver
4,4,3888000,1144 EYREMOUNT DRIVE,West Vancouver
1,1,722000,208-202 E 24TH AVENUE,Vancouver
1,1,664900,606-5311 GORING STREET,Burnaby
2,2,1628000,4110-128 W CORDOVA STREET,Vancouver
1,1,676900,1004-928 HOMER STREET,Vancouver
1,1,739000,2202-1155 HOMER STREET,Vancouver
1,1,747000,307-1275 HAMILTON STREET,Vancouver
3,3,1499000,216-650 E 2ND STREET,North Vancouver
4,4,3788000,4649 W 8TH AVENUE,Vancouver
2,2,748000,401-5350 BALSAM STREET,Vancouver
3,3,1298000,3605 MONMOUTH AVENUE,Vancouver
3,3,1298000,4994 RUBY STREET,Vancouver
4,4,1888000,2818 E 8TH AVENUE,Vancouver
2,2,920000,101-874 W 6TH AVENUE,Vancouver
3,3,1546900,470 W 35TH AVENUE,Vancouver
2,2,1145900,5120 CAMBIE STREET,Vancouver
6,7,7950000,4831 WATER LANE,West Vancouver
3,3,2488000,1401-1575 W 10TH AVENUE,Vancouver
1,2,878900,714-428 W 8 AVENUE,Vancouver
3,3,1579000,2697 DUNDAS STREET,Vancouver
2,2,599000,PH1-2733 CHANDLERY PLACE,Vancouver
2,3,3590000,1602-499 BROUGHTON STREET,Vancouver
2,2,1249000,PH10-3479 WESBROOK MALL,Vancouver
5,3,3220000,4631 BLENHEIM STREET,Vancouver
4,2,1888000,927 E 63RD AVENUE,Vancouver
5,3,1848000,4321 FRANCES STREET,Burnaby
6,4,3188800,7437 STIRLING STREET,Vancouver
1,1,499900,431-3600 WINDCREST DRIVE,North Vancouver
2,1,884900,405-2727 KINGSWAY STREET,Vancouver
9,8,3588800,6523 LOCHDALE STREET,Burnaby
1,1,464900,1401-1251 CARDERO STREET,Vancouver
4,3,2299900,105-157 KING EDWARD AVENUE,Vancouver
4,4,3650000,3947 14TH AVENUE,Vancouver
2,2,1038000,901-8181 CHESTER STREET,Vancouver
1,1,369000,213-145 W 18TH STREET,North Vancouver
3,3,1248000,203-2225 HOLDOM AVENUE,Burnaby
N/A ,0,5500900,4569 OAK STREET,Vancouver
1,1,500000,101-1540 E 4TH AVENUE,Vancouver
2,2,2149800,5505-1289 HORNBY STREET,Vancouver
1,1,628000,502-1401 HUNTER STREET,North Vancouver
4,4,3789000,3015 SPENCER DRIVE,West Vancouver
2,2,935000,408-8570 RIVERGRASS DRIVE,Vancouver
1,1,549900,720-5598 ORMIDALE STREET,Vancouver
3,2,999900,1703-8188 FRASER STREET,Vancouver
1,1,579800,314-950 DRAKE STREET,Vancouver
2,2,879000,709-3451 SAWMILL CRESCENT,Vancouver
4,2,1499000,1992 CHARLES STREET,Vancouver
1,1,723000,305-1331 W GEORGIA STREET,Vancouver
1,1,850000,3704-4458 BERESFORD STREET,Burnaby
4,2,2288000,4115 ALMONDEL ROAD,West Vancouver
2,2,638800,1702-7321 HALIFAX STREET,Burnaby
1,1,599900,217-6438 BYRNEPARK DRIVE,Burnaby
2,2,998000,205-2200 HIGHBURY STREET,Vancouver
3,3,1099000,3130 E 2ND AVENUE,Vancouver
1,1,638000,403-130 E 2ND STREET,North Vancouver
